Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,"Real evidence states the participant showers once a day, indicating daily use of body wash."
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""dove"", ""lux""]",Dove; Lux,"Real interview data shows current use of Dove and past trial of Playboy but mostly Dove; Lux is mentioned as a brand used for body scrub and known, so likely used recently as well."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",somewhat_satisfied,Somewhat satisfied,"Participant likes their current Dove body wash for fragrance and moisturizing but finds fragrance lasting power just okay, indicating moderate satisfaction."
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?","I would most like to see improved lasting fragrance and better moisturizing benefits in body washes, ideally with a mild, warm scent like vanilla and a rich, thick texture that foams well without drying the skin.","I would most like to see improved lasting fragrance and better moisturizing benefits in body washes, ideally with a mild, warm scent like vanilla and a rich, thick texture that foams well without drying the skin.","Real interview data highlights desire for better fragrance lasting power and moisturizing effect, with preference for mild warm scents and thick cream texture."
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),Previously answered 'might or might not buy' and 'somewhat interested' aligns with moderate interest rating 3.
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?","The most appealing aspect is the promise of a quick, effective clean in just 60 seconds using proven micellar technology, which fits well with busy days when time is limited.","The most appealing aspect is the promise of a quick, effective clean in just 60 seconds using proven micellar technology, which fits well with busy days when time is limited.",Survey responses indicate appreciation for the speed and cleaning efficacy of the Dove 60-Second Body Spray concept.
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?","I would want clearer evidence or clinical validation that the 60-second formula truly works as claimed, and reassurance that it won't irritate my skin before considering a purchase.","I would want clearer evidence or clinical validation that the 60-second formula truly works as claimed, and reassurance that it won't irritate my skin before considering a purchase.",Profile shows cautious approach to new products with skepticism about claims and concerns about skin irritation.
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,3,3 (Somewhat well),"Profile states the concept fits 'somewhat well' with routine, so rating 3 is consistent."
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,3,3 (Moderately likely),"The product promises time-saving but with some skepticism, so moderately likely (3) fits."
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",might_buy,Might or might not buy,"While the Dove 60-Second Body Spray offers speed and micellar technology, the participant is cautious about new products and values proven effectiveness, so would be hesitant without more evidence."
Concept 1: Dove 60-Second Body Spray,M8_q12,How unique or different is the Dove 60-Second Body Spray compared to other body wash products available today?,somewhat,Somewhat unique,The 60-second cleansing concept is somewhat different from regular body washes but not radically unique given existing Dove variants and the participant's cautious novelty approach.
Concept 1: Dove 60-Second Body Spray,M8_q13,How relevant is the Dove 60-Second Body Spray to your personal needs?,somewhat,Somewhat relevant,The product addresses quick cleansing needs which may not be a daily priority for the participant who showers once daily and values moisturizing and fragrance more.
Concept 1: Dove 60-Second Body Spray,M8_q14,How believable are the claims made about the Dove 60-Second Body Spray?,somewhat,Somewhat believable,Claims about micellar technology and quick cleansing sound plausible but the participant would remain cautiously skeptical until proven by expert reviews or personal experience.
Concept 1: Dove 60-Second Body Spray,M8_q15,How well does the Dove 60-Second Body Spray idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,The product fits Dove's brand image of gentle cleansing but the quick spray format is a slight departure from the participant's usual thick cream body wash expectations.
Concept 1: Dove 60-Second Body Spray,M8_q16,How would you describe the Dove 60-Second Body Spray? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 4, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 4; Forgettable-Memorable: 3,"The Dove 60-Second Body Spray is seen as somewhat unique and innovative but fits only somewhat well with current routine, so neutral to slightly positive ratings are appropriate."
Concept 1: Dove 60-Second Body Spray,M8_q19,"What concerns, if any, would you have about trying the Dove 60-Second Body Spray? Select all that apply.","[""skeptical_claims"", ""skin_irritation"", ""happy_current""]",Might not work as claimed; Could irritate my skin; Happy with current product,"Profile shows cautious-novelty approach with doubts about new product efficacy and skin irritation, plus satisfaction with current Dove body wash."
Concept 2: Dove Skip,M8_q20,"Overall, how interested are you in this product concept?",4,4,"Previously indicated 'probably buy' and found the 12-hour moisturization appealing, so a rating of 4 reflects strong interest."
Concept 2: Dove Skip,M8_q21,"What, if anything, did you find most appealing about the Dove Skip concept?","The most appealing part is the 12-hour moisturization straight from the shower, eliminating the need for a separate body lotion, which addresses a common hassle.","The most appealing part is the 12-hour moisturization straight from the shower, eliminating the need for a separate body lotion, which addresses a common hassle.",Survey and profile data emphasize appreciation for moisturizing benefits that simplify routine.
Concept 2: Dove Skip,M8_q22,"What, if anything, would you change or improve about the Dove Skip concept?",I would improve the concept by ensuring the price is more modest and by providing detailed ingredient transparency to build trust in the moisturizing claims.,I would improve the concept by ensuring the price is more modest and by providing detailed ingredient transparency to build trust in the moisturizing claims.,Concerns about price being high and importance of ingredient clarity are consistent with cautious-novelty and ingredient-focused traits.
Concept 2: Dove Skip,M8_q23,How well does the Dove Skip concept fit with your current routine?,3,3 (Somewhat well),"The Dove Skip fits 'somewhat well' with routine, consistent with rating 3."
Concept 2: Dove Skip,M8_q24,How likely would the Dove Skip be to save you time in your routine?,4,4,"The Skip concept saves time by eliminating lotion use, so likely to save time rated moderately high at 4."
Concept 2: Dove Skip,M8_q25,"Based on what you've seen, how likely would you be to buy the Dove Skip?",probably_buy,Probably would buy,"The Dove Skip's promise of 12-hour moisturization aligns well with the participant's preference for moisturized post-wash skin and convenience, making it appealing though some caution remains."
Concept 2: Dove Skip,M8_q27,How unique or different is the Dove Skip compared to other body wash products available today?,somewhat,Somewhat unique,"The consumer previously rated Dove 60-Second Body Spray as somewhat unique and tends to be cautious about novelty, so they would likely see Dove Skip as somewhat unique but not extremely so."
Concept 2: Dove Skip,M8_q28,How relevant is the Dove Skip to your personal needs?,somewhat,Somewhat relevant,"The consumer indicated the Dove 60-Second Body Spray was somewhat relevant to their needs and values moisturizing benefits but is cautious, so Dove Skip’s moisturizing claim fits somewhat but not extremely."
Concept 2: Dove Skip,M8_q29,How believable are the claims made about the Dove Skip?,somewhat,Somewhat believable,"The consumer rated Dove 60-Second Body Spray claims as somewhat believable and is ingredient-focused and rational, so they would similarly find Dove Skip’s claims somewhat believable pending more evidence."
Concept 2: Dove Skip,M8_q30,How well does the Dove Skip idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,"The consumer previously said Dove 60-Second Body Spray fits somewhat well with Dove’s brand and shows brand loyalty but cautious acceptance of new variants, so Dove Skip fits somewhat well."
Concept 2: Dove Skip,M8_q31,How would you describe the Dove Skip? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 3, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 3; Forgettable-Memorable: 3,Dove Skip concept is somewhat unique and relevant but concerns about price and ingredient transparency keep ratings neutral overall.
Concept 2: Dove Skip,M8_q34,"What concerns, if any, would you have about trying the Dove Skip? Select all that apply.","[""price_high"", ""skeptical_claims"", ""happy_current""]",Price might be too high; Might not work as claimed; Happy with current product,Dove Skip priced at ₹349-599 is on the higher side for this user who is somewhat satisfied with current product and cautious about claims.
Concept 3: Dove Night Wash,M8_q35,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"Interest in Dove Night Wash is moderate ('might buy'), so rating 3 fits."
Concept 3: Dove Night Wash,M8_q36,"What, if anything, did you find most appealing about the Dove Night Wash concept?","The calming ritual with chamomile and lavender oils that help reduce stress hormones and create a richer, slower lather is the most appealing aspect for a relaxing night shower.","The calming ritual with chamomile and lavender oils that help reduce stress hormones and create a richer, slower lather is the most appealing aspect for a relaxing night shower.",Survey responses and profile indicate appreciation for clinically supported calming benefits and richer texture.
Concept 3: Dove Night Wash,M8_q37,"What, if anything, would you change or improve about the Dove Night Wash concept?",I would want more clinical evidence supporting the stress-reducing claims and possibly a more modest price point to make it more accessible.,I would want more clinical evidence supporting the stress-reducing claims and possibly a more modest price point to make it more accessible.,Price concerns and demand for clinical validation are consistent with cautious and ingredient-focused shopper behavior.
Concept 3: Dove Night Wash,M8_q38,How well does the Dove Night Wash concept fit with your current routine?,3,3 (Somewhat well),"Night Wash fits 'somewhat well' with routine, so rating 3 is consistent."
Concept 3: Dove Night Wash,M8_q40,"Based on what you've seen, how likely would you be to buy the Dove Night Wash?",might_buy,Might or might not buy,"Consistent with prior answers on Dove 60-Second Body Spray where the consumer was ambivalent about purchase, and given cautious novelty approach, they would be uncertain about buying Dove Night Wash."
Concept 3: Dove Night Wash,M8_q42,How unique or different is the Dove Night Wash compared to other body wash products available today?,somewhat,Somewhat unique,"The consumer tends to rate Dove innovations as somewhat unique and is cautious about novelty, so Dove Night Wash would be seen as somewhat unique."
Concept 3: Dove Night Wash,M8_q43,How relevant is the Dove Night Wash to your personal needs?,somewhat,Somewhat relevant,"The calming night shower benefit aligns somewhat with the consumer’s needs but is not a strong priority, so relevance is somewhat."
Concept 3: Dove Night Wash,M8_q44,How believable are the claims made about the Dove Night Wash?,somewhat,Somewhat believable,"Given the consumer’s rational and ingredient-focused profile, they would find calming claims somewhat believable but would want more clinical proof."
Concept 3: Dove Night Wash,M8_q45,How well does the Dove Night Wash idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,"Previous answers show Dove Night Wash fits somewhat well with expectations from Dove, consistent with moderate relevance and uniqueness ratings."
Concept 3: Dove Night Wash,M8_q46,How would you describe the Dove Night Wash? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 3, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 3; Forgettable-Memorable: 3,Dove Night Wash is somewhat unique and relevant with calming benefits but price and clinical evidence concerns lead to neutral ratings.
Concept 3: Dove Night Wash,M8_q49,"What concerns, if any, would you have about trying the Dove Night Wash? Select all that apply.","[""price_high"", ""skeptical_claims"", ""happy_current""]",Price might be too high; Might not work as claimed; Happy with current product,"Similar to other Dove variants, user is somewhat satisfied with current product and price sensitivity is evident for new Dove products priced above ₹299."
Concept 4: Dove Yours & Mine,M8_q50,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"Survey evidence rates interest in Dove Yours & Mine as 'somewhat' or moderate, with appeal for personalized fragrance but concerns about price and ingredient transparency."
Concept 4: Dove Yours & Mine,M8_q51,"What, if anything, did you find most appealing about the Dove Yours & Mine concept?",The personalized fragrance quiz and the idea of carrying a subtle trace of each other's scent to feel connected even when apart is the most appealing part.,The personalized fragrance quiz and the idea of carrying a subtle trace of each other's scent to feel connected even when apart is the most appealing part.,Profile shows some appreciation for emotional connection concepts but cautious about novelty without evidence; personalization stands out as appealing.
Concept 4: Dove Yours & Mine,M8_q52,"What, if anything, would you change or improve about the Dove Yours & Mine concept?","I would want the price to be more modest, ideally under ₹700, and clearer ingredient transparency to build trust in the personalized fragrance claims.","I would want the price to be more modest, ideally under ₹700, and clearer ingredient transparency to build trust in the personalized fragrance claims.","The participant values ingredient transparency and is concerned about price being high, consistent with prior concerns about Dove Yours & Mine and other Dove premium concepts."
Concept 4: Dove Yours & Mine,M8_q55,"Based on what you've seen, how likely would you be to buy the Dove Yours & Mine?",might_buy,Might or might not buy,"The profile shows cautious novelty approach and moderate likelihood to buy new Dove variants, so a personalized couples kit at a premium price is uncertain."
Concept 4: Dove Yours & Mine,M8_q57,How unique or different is the Dove Yours & Mine compared to other body wash products available today?,somewhat,Somewhat unique,"Similar Dove products like Night Wash and 60-Second Body Spray were rated somewhat unique, so this new personalized scent concept fits that pattern."
Concept 4: Dove Yours & Mine,M8_q58,How relevant is the Dove Yours & Mine to your personal needs?,somewhat,Somewhat relevant,"Profile indicates moderate relevance for Dove’s new products, including Night Wash and Skip, so the Yours & Mine concept is also somewhat relevant."
