Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,Real interview evidence shows I shower once a day and use body wash as my primary cleansing method.
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""dove""]",Dove,"Real interview data shows I currently use only Dove shea butter and vanilla variant, and while I tried Playboy body washes last year, I switched back to Dove immediately."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",very_satisfied,Very satisfied,"Real interview data shows I consistently repurchase the same Dove variant and am extremely brand loyal, indicating high satisfaction."
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?",Better fragrance longevity and more moisturizing formulations that don't dry out sensitive skin.,Better fragrance longevity and more moisturizing formulations that don't dry out sensitive skin.,Real interview data shows I'm frustrated with fragrance lasting power being 'just okay' and prioritize moisturizing benefits that don't dry the skin.
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",2,2,"While I found the micellar technology appealing, I rated it 'probably would not buy' and 'not very relevant' to my needs, indicating low interest despite some appealing aspects."
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?",The micellar cleansing technology from Dove's face care range and the trial size option at ₹199.,The micellar cleansing technology from Dove's face care range and the trial size option at ₹199.,"As an ingredients-first decision maker who prefers sample testing before commitment, the proven technology and affordable trial size appeal to my cautious approach."
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?",I'd want to see the complete ingredient list and clinical studies proving the 60-second claim before considering it.,I'd want to see the complete ingredient list and clinical studies proving the 60-second claim before considering it.,My anti-marketing-gimmick stance and ingredients-first approach mean I need transparent formulation details and scientific validation rather than marketing claims.
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,1,1 (Not at all well),"As a meticulous planner who never runs out of essentials, I rarely have rushing situations that would require a 60-second body spray solution."
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,1,1 (Not at all likely),"Since I'm a meticulous planner who never runs out of essentials and rarely have urgent situations, this time-saving benefit wouldn't be relevant to my routine."
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",probably_not,Probably would not buy,"Despite being a Dove loyalist, this spray format contradicts my preference for thick cream texture and thorough cleansing routine, plus I'm a meticulous planner who rarely needs rushed solutions."
Concept 1: Dove 60-Second Body Spray,M8_q12,How unique or different is the Dove 60-Second Body Spray compared to other body wash products available today?,very,Very unique,"The micellar technology and 60-second spray format is genuinely different from traditional body washes, though my skepticism of marketing claims makes me cautious about 'extremely unique.'"
Concept 1: Dove 60-Second Body Spray,M8_q13,How relevant is the Dove 60-Second Body Spray to your personal needs?,not_very,Not very relevant,"As a meticulous planner who never runs out of essentials and follows a structured bathing routine, rushed cleaning solutions don't align with my lifestyle needs."
Concept 1: Dove 60-Second Body Spray,M8_q14,How believable are the claims made about the Dove 60-Second Body Spray?,somewhat,Somewhat believable,"While I trust Dove as a brand and micellar technology exists in face care, my anti-marketing stance makes me skeptical of claims about 60-second complete cleaning without proper research validation."
Concept 1: Dove 60-Second Body Spray,M8_q15,How well does the Dove 60-Second Body Spray idea fit with what you expect from the Dove brand?,not_very,Doesn't fit very well,"This rushed, convenience-focused product contradicts Dove's traditional moisturizing, gentle care positioning that originally attracted me to the brand."
Concept 1: Dove 60-Second Body Spray,M8_q16,How would you describe the Dove 60-Second Body Spray? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 2, ""Not for me-Made for me"": 2, ""Old-fashioned-Innovative"": 4, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 2; Not for me-Made for me: 2; Old-fashioned-Innovative: 4; Forgettable-Memorable: 3,"Evidence shows I find the concept 'very unique' but 'not very relevant' to my needs and 'probably would not buy' it, indicating neutral-to-negative personal fit despite recognizing innovation."
Concept 1: Dove 60-Second Body Spray,M8_q19,"What concerns, if any, would you have about trying the Dove 60-Second Body Spray? Select all that apply.","[""price_high"", ""skeptical_claims"", ""happy_current""]",Price might be too high; Might not work as claimed; Happy with current product,"Evidence shows I'm extremely loyal to my current Dove variant, skeptical of marketing claims, and already rated this concept as 'probably would not buy' due to lack of relevance to my needs."
Concept 2: Dove Skip,M8_q20,"Overall, how interested are you in this product concept?",4,4,"I found the 12-hour moisturization benefit and lipid-lock technology very appealing, and rated it 'probably would buy' and 'very relevant' to my needs."
Concept 2: Dove Skip,M8_q21,"What, if anything, did you find most appealing about the Dove Skip concept?",The 12-hour moisturization benefit and lipid-lock technology that eliminates the need for separate body lotion.,The 12-hour moisturization benefit and lipid-lock technology that eliminates the need for separate body lotion.,This aligns with my preference for moisturized post-wash skin feeling and my interest in clinically-backed formulations that provide proven benefits.
