Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,"Real evidence shows the participant showers twice a day and uses body wash regularly, indicating daily use."
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""dove"", ""lux"", ""fiama"", ""other""]",Dove; Lux; Fiama; Other brand,"Real interview data shows current use of Fiama and Cinthol (Other brand), and mentions Dove and Lux as known brands used recently."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",somewhat_satisfied,Somewhat satisfied,"The participant values fragrance and price but mentions some dissatisfaction with after-wash feel, suggesting moderate satisfaction."
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?",I would like body washes to improve their moisturizing effect after wash and offer better fragrance options like citrus or musk at affordable prices around ₹200-300.,I would like body washes to improve their moisturizing effect after wash and offer better fragrance options like citrus or musk at affordable prices around ₹200-300.,"Evidence shows a strong preference for moisturized skin feeling post-wash and fragrance (especially citrus) as key drivers, with price sensitivity around mid-range ₹100-300."
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",4,4,"Participant is moderately to highly interested in the Dove 60-Second Body Spray due to its promise of quick cleaning fitting their busy lifestyle, but price and availability concerns prevent an extreme rating."
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?","The most appealing part is the promise of getting completely clean in just 60 seconds, which fits well with my busy lifestyle and need for quick showers after activities like gym.","The most appealing part is the promise of getting completely clean in just 60 seconds, which fits well with my busy lifestyle and need for quick showers after activities like gym.","Profile shows appreciation for convenience and speed in cleansing, and the Dove 60-Second Body Spray fits well with expectations for quick, effective cleaning."
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?",I would improve the availability of the product in common stores I shop at and consider a slightly lower price point to better fit my budget.,I would improve the availability of the product in common stores I shop at and consider a slightly lower price point to better fit my budget.,Concerns about price being too high and availability at preferred stores like D-Mart and local kirana are noted in the evidence.
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,3,3 (Somewhat well),The concept fits somewhat well with the participant's routine as they value quick showers after gym but do not fully rely on such rapid products.
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,4,4,"The product is likely to save time in their routine given the appeal of a 60-second clean, though some skepticism remains."
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",probably_buy,Probably would buy,"The product's promise of quick cleaning fits a busy lifestyle, price is mid-range (₹199 trial), and the participant is open to trying new formats if trial-sized."
Concept 1: Dove 60-Second Body Spray,M8_q12,How unique or different is the Dove 60-Second Body Spray compared to other body wash products available today?,somewhat,Somewhat unique,Micellar technology and 60-second cleaning are somewhat different but not radically unique compared to existing body washes.
Concept 1: Dove 60-Second Body Spray,M8_q13,How relevant is the Dove 60-Second Body Spray to your personal needs?,somewhat,Somewhat relevant,"The product addresses quick cleaning which is relevant, but the participant showers twice daily and uses a full routine, so partial relevance."
Concept 1: Dove 60-Second Body Spray,M8_q14,How believable are the claims made about the Dove 60-Second Body Spray?,somewhat,Somewhat believable,"Participant is moderately skeptical of innovative claims and prefers expert validation, so claims are somewhat believable but not fully accepted yet."
Concept 1: Dove 60-Second Body Spray,M8_q15,How well does the Dove 60-Second Body Spray idea fit with what you expect from the Dove brand?,very,Fits very well,"Dove is an established international brand trusted by the participant, and the product fits Dove's image of gentle, effective cleansing."
Concept 1: Dove 60-Second Body Spray,M8_q16,How would you describe the Dove 60-Second Body Spray? Rate each pair of characteristics.,"{""Basic-Premium"": 4, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 4, ""Old-fashioned-Innovative"": 4, ""Forgettable-Memorable"": 3}",Basic-Premium: 4; Boring-Exciting: 3; Not for me-Made for me: 4; Old-fashioned-Innovative: 4; Forgettable-Memorable: 3,"The Dove 60-Second Body Spray is seen as somewhat unique and innovative with a good fit for busy lifestyle, so rated above neutral on premium, made for me, and innovative; excitement and memorability are moderate."
Concept 1: Dove 60-Second Body Spray,M8_q19,"What concerns, if any, would you have about trying the Dove 60-Second Body Spray? Select all that apply.","[""price_high"", ""skeptical_claims"", ""availability""]",Price might be too high; Might not work as claimed; Might not be available where I shop,"Profile shows some openness but cautiousness about new products, mid-range price sensitivity, and concern about availability in usual stores."
