Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,Real interview data explicitly states 'Once daily' for bathing frequency.
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""dove"", ""lux""]",Dove; Lux,"Real interview data explicitly states 'Lux, Baylis & Harding, Dove' as currently used brands, with Lux and Dove being the available options from the list."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",somewhat_dissatisfied,Somewhat dissatisfied,Real interview evidence shows current body wash is 'Mediocre; wants better sensitive-skin option' indicating dissatisfaction.
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?",Better ingredients transparency and more Ayurvedic formulations for sensitive skin without harsh chemicals.,Better ingredients transparency and more Ayurvedic formulations for sensitive skin without harsh chemicals.,"Based on my strong preference for natural/Ayurvedic products and ingredients-first decision making, plus sensitivity concerns about chemical formulations."
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",2,2,"While the micellar technology sounds gentle, I'm concerned about unknown chemicals and whether it's truly suitable for sensitive skin, plus I already rated it as 'not very relevant' to my needs."
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?","The micellar technology sounds gentle, but I'm concerned about unknown chemicals and whether it's truly suitable for sensitive skin.","The micellar technology sounds gentle, but I'm concerned about unknown chemicals and whether it's truly suitable for sensitive skin.","While I appreciate gentle cleansing technology, my distrust of new products and concern about skin irritation makes me cautious about the chemical formulation."
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?",I'd want to see the complete ingredient list and proof that it's safe for sensitive skin before considering it.,I'd want to see the complete ingredient list and proof that it's safe for sensitive skin before considering it.,My ingredients-first approach and sensitive skin concerns require transparency about what chemicals are in the micellar formula before I'd trust this product.
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,2,2,"My bathing routine is mood-dependent and I don't want extra steps or complicated products, so this spray format doesn't fit well with my preference for simple routines."
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,2,2,"Though it claims to save time, I'm skeptical of new products and prefer my established routine, plus I'm concerned about the unknown chemicals making it unsuitable for my sensitive skin."
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",probably_not,Probably would not buy,"Despite being from trusted Dove brand, this person is extremely risk-averse to new product formats and prefers consistency over innovation, plus the spray format is too different from familiar body wash routine."
Concept 1: Dove 60-Second Body Spray,M8_q12,How unique or different is the Dove 60-Second Body Spray compared to other body wash products available today?,very,Very unique,"The 60-second spray format with micellar technology is objectively different from traditional body washes, even though this person wouldn't personally buy it."
Concept 1: Dove 60-Second Body Spray,M8_q13,How relevant is the Dove 60-Second Body Spray to your personal needs?,not_very,Not very relevant,"This person has mood-dependent bathing routines and doesn't want extra steps or rushed shower experiences, preferring their consistent once-daily routine."
Concept 1: Dove 60-Second Body Spray,M8_q14,How believable are the claims made about the Dove 60-Second Body Spray?,somewhat,Somewhat believable,"While skeptical of new formats, this person trusts Dove as a brand and micellar technology exists in face care, making claims moderately believable despite personal reluctance to try."
Concept 1: Dove 60-Second Body Spray,M8_q15,How well does the Dove 60-Second Body Spray idea fit with what you expect from the Dove brand?,not_very,Doesn't fit very well,"This person expects Dove to be gentle and moisturizing for sensitive skin, but a quick-cleansing spray format doesn't align with their perception of Dove's core gentle cleansing benefits."
Concept 1: Dove 60-Second Body Spray,M8_q16,How would you describe the Dove 60-Second Body Spray? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 2, ""Not for me-Made for me"": 2, ""Old-fashioned-Innovative"": 4, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 2; Not for me-Made for me: 2; Old-fashioned-Innovative: 4; Forgettable-Memorable: 3,"Evidence shows I find the concept 'very unique' but 'not very relevant' to my needs, with concerns about unknown chemicals and skin irritation despite finding micellar technology interesting."
Concept 1: Dove 60-Second Body Spray,M8_q19,"What concerns, if any, would you have about trying the Dove 60-Second Body Spray? Select all that apply.","[""price_high"", ""skin_irritation"", ""distrust_new""]",Price might be too high; Could irritate my skin; Don't trust new products,"Evidence shows extreme risk aversion to new brands (1/5 comfort level), sensitive skin concerns driving all decisions, and price consciousness within ₹100-200 range making ₹199-399 concerning."
Concept 2: Dove Skip,M8_q20,"Overall, how interested are you in this product concept?",4,4,"The moisturizing benefit appeals to me since I want moisturized skin after washing and it would simplify my routine, which aligns with my preference for gentle, moisturizing products."
