Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,"Real evidence shows the participant showers once a day, indicating daily use of body wash."
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""dove"", ""pears"", ""fiama"", ""nivea""]",Dove; Pears; Fiama; Nivea,"Real interview data lists current use of Arata, Fiama, Pears, Dettol and mentions Dove and Nivea as known brands; among options, Dove, Pears, Fiama, and Nivea are relevant and likely used in past 3 months."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",somewhat_satisfied,Somewhat satisfied,"Participant likes the current body wash mainly because it is cheapest but is frustrated by lack of fragrance, indicating moderate satisfaction."
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?","I would most like to see better fragrance options in body washes, as my current ones often lack scent. Also, improving moisturizing effects without increasing price would be good.","I would most like to see better fragrance options in body washes, as my current ones often lack scent. Also, improving moisturizing effects without increasing price would be good.",Real interview evidence shows frustration with lack of fragrance and desire for moisturized skin; price sensitivity is also noted.
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),Participant is somewhat interested in the Dove 60-Second Body Spray concept due to its time-saving promise but concerned about price and effectiveness.
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?","The most appealing aspect is the promise of getting completely clean in just 60 seconds, which fits well with busy days and saves time.","The most appealing aspect is the promise of getting completely clean in just 60 seconds, which fits well with busy days and saves time.",Survey responses indicate the 60-second cleaning benefit is somewhat relevant and appealing for quick routines.
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?","I would improve the price point as Rs.199 for 100ml seems high, and I would want assurance that it really works as claimed without irritating my skin.","I would improve the price point as Rs.199 for 100ml seems high, and I would want assurance that it really works as claimed without irritating my skin.","Concerns about price, efficacy, and skin irritation were repeatedly noted for the Dove 60-Second Body Spray."
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,3,3 (Somewhat well),The concept fits somewhat well with the participant's routine as they see relevance in busy days but not perfectly due to price and skepticism.
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,3,3 (Moderately likely),"Participant believes the product could moderately save time given the 60-second cleaning claim, aligning with their busy lifestyle."
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",might_buy,Might or might not buy,Participant values cleansing and fragrance but is price sensitive and loyal; the 60-second spray is interesting but not clearly a must-buy.
Concept 1: Dove 60-Second Body Spray,M8_q12,How unique or different is the Dove 60-Second Body Spray compared to other body wash products available today?,somewhat,Somewhat unique,The micellar technology and 60-second claim are somewhat different from typical body washes but not extremely unique.
Concept 1: Dove 60-Second Body Spray,M8_q13,How relevant is the Dove 60-Second Body Spray to your personal needs?,somewhat,Somewhat relevant,"The product's speed and cleansing appeal somewhat to the participant's needs, but not extremely relevant given their routine and price sensitivity."
Concept 1: Dove 60-Second Body Spray,M8_q14,How believable are the claims made about the Dove 60-Second Body Spray?,somewhat,Somewhat believable,Claims about micellar technology and fast cleansing seem plausible but participant is moderately skeptical and researches before switching.
Concept 1: Dove 60-Second Body Spray,M8_q15,How well does the Dove 60-Second Body Spray idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,Dove is a familiar brand but this new product format is somewhat different from what participant expects from Dove.
Concept 1: Dove 60-Second Body Spray,M8_q16,How would you describe the Dove 60-Second Body Spray? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 4, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 4; Forgettable-Memorable: 3,"Survey responses indicate the Dove 60-Second Body Spray is seen as somewhat unique and somewhat fitting, with moderate excitement and innovation but neutral on premium or memorability."
Concept 1: Dove 60-Second Body Spray,M8_q19,"What concerns, if any, would you have about trying the Dove 60-Second Body Spray? Select all that apply.","[""price_high"", ""skeptical_claims"", ""skin_irritation"", ""availability""]",Price might be too high; Might not work as claimed; Could irritate my skin; Might not be available where I shop,Survey responses show 'somewhat relevant' and 'somewhat unique' for Dove 60-Second Body Spray but only 'might or might not buy' with concerns around efficacy and price; skin irritation and availability are common concerns for new products.
Concept 2: Dove Skip,M8_q20,"Overall, how interested are you in this product concept?",4,4,"Participant is quite interested in Dove Skip for its 12-hour moisturization benefit that removes lotion hassle, though price is a concern."
Concept 2: Dove Skip,M8_q21,"What, if anything, did you find most appealing about the Dove Skip concept?","The most appealing part is the 12-hour moisturization straight from the shower, which removes the hassle of applying lotion afterwards.","The most appealing part is the 12-hour moisturization straight from the shower, which removes the hassle of applying lotion afterwards.","Real evidence highlights desire for moisturized skin and convenience, matching the Dove Skip concept's benefit."
Concept 2: Dove Skip,M8_q22,"What, if anything, would you change or improve about the Dove Skip concept?","I would want the price to be more affordable, closer to mid-range, and clearer proof that the moisturizing effect lasts as claimed.","I would want the price to be more affordable, closer to mid-range, and clearer proof that the moisturizing effect lasts as claimed.",Concerns about price being too high and skepticism about claims were noted for Dove Skip.
Concept 2: Dove Skip,M8_q23,How well does the Dove Skip concept fit with your current routine?,3,3 (Somewhat well),The Dove Skip concept fits somewhat well with their routine as it addresses moisturizing needs but price and proof of claims temper enthusiasm.
Concept 2: Dove Skip,M8_q24,How likely would the Dove Skip be to save you time in your routine?,4,4,Likely to save time moderately to highly by removing the need for post-shower lotion application.
Concept 2: Dove Skip,M8_q25,"Based on what you've seen, how likely would you be to buy the Dove Skip?",probably_buy,Probably would buy,"The moisturizing benefit aligns with participant's ideal post-wash skin feeling, and price is mid-range, making it likely but not definite to buy."
Concept 2: Dove Skip,M8_q27,How unique or different is the Dove Skip compared to other body wash products available today?,somewhat,Somewhat unique,"Previous answers show Dove Skip fits somewhat well and is somewhat unique compared to other Dove products, consistent with moderate uniqueness perception."
Concept 2: Dove Skip,M8_q28,How relevant is the Dove Skip to your personal needs?,somewhat,Somewhat relevant,"Earlier responses indicate Dove Skip is somewhat relevant to personal needs, matching the profile's moderate interest in moisturizing benefits."
Concept 2: Dove Skip,M8_q29,How believable are the claims made about the Dove Skip?,somewhat,Somewhat believable,"Profile shows a tendency to be cautiously optimistic about claims, researching more before full trust, so 'somewhat believable' fits."
Concept 2: Dove Skip,M8_q30,How well does the Dove Skip idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,Prior data explicitly states Dove Skip fits somewhat well with expectations from Dove brand.
Concept 2: Dove Skip,M8_q31,How would you describe the Dove Skip? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 3, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 3; Forgettable-Memorable: 3,"The Dove Skip concept was rated as somewhat unique and somewhat fitting with routine, but with concerns about price and proof of claims, suggesting a neutral rating across characteristics."
Concept 2: Dove Skip,M8_q34,"What concerns, if any, would you have about trying the Dove Skip? Select all that apply.","[""price_high"", ""skeptical_claims"", ""skin_irritation""]",Price might be too high; Might not work as claimed; Could irritate my skin,"Dove Skip is rated 'probably buy' but with only 'somewhat' uniqueness and relevance; price is higher (₹349-599) which is a concern, and potential irritation and efficacy doubts are typical concerns."
Concept 3: Dove Night Wash,M8_q35,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),Participant is moderately interested in Dove Night Wash for its calming night ritual but price and fragrance strength are concerns.
Concept 3: Dove Night Wash,M8_q36,"What, if anything, did you find most appealing about the Dove Night Wash concept?",I like that it transforms the night shower into a calming ritual with ingredients like chamomile and lavender to help unwind before sleep.,I like that it transforms the night shower into a calming ritual with ingredients like chamomile and lavender to help unwind before sleep.,"The calming, stress-reducing benefit and unique night shower positioning were found appealing in the survey data."
Concept 3: Dove Night Wash,M8_q37,"What, if anything, would you change or improve about the Dove Night Wash concept?","I would want the price to be lower, ideally under Rs.300 for a smaller size, and would prefer a stronger fragrance to make the experience more noticeable.","I would want the price to be lower, ideally under Rs.300 for a smaller size, and would prefer a stronger fragrance to make the experience more noticeable.",Price concerns and desire for better fragrance strength were consistent themes across body wash feedback.
Concept 3: Dove Night Wash,M8_q38,How well does the Dove Night Wash concept fit with your current routine?,3,3 (Somewhat well),The Night Wash fits somewhat well with their routine as an evening product but not extremely due to price and fragrance preferences.
Concept 3: Dove Night Wash,M8_q40,"Based on what you've seen, how likely would you be to buy the Dove Night Wash?",probably_buy,Probably would buy,"Profile previously indicated a 'probably would buy' likelihood for Dove Skip and moderate interest in Dove products, so similar likelihood applies here."
Concept 3: Dove Night Wash,M8_q42,How unique or different is the Dove Night Wash compared to other body wash products available today?,somewhat,Somewhat unique,"Given the calming and sleep-related benefits, the product is somewhat unique but not extremely so, consistent with profile's moderate uniqueness ratings."
Concept 3: Dove Night Wash,M8_q43,How relevant is the Dove Night Wash to your personal needs?,somewhat,Somewhat relevant,Profile shows moderate relevance for Dove products with specific benefits; calming night wash fits somewhat with personal needs.
Concept 3: Dove Night Wash,M8_q44,How believable are the claims made about the Dove Night Wash?,somewhat,Somewhat believable,Profile tendency to research and moderate trust in claims supports a 'somewhat believable' rating for Dove Night Wash claims.
Concept 3: Dove Night Wash,M8_q45,How well does the Dove Night Wash idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,Prior survey answers show Dove Night Wash fits somewhat well with brand expectations and is seen as somewhat unique and relevant.
Concept 3: Dove Night Wash,M8_q46,How would you describe the Dove Night Wash? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 3, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 3; Forgettable-Memorable: 3,"Dove Night Wash is somewhat unique and somewhat relevant, with moderate appeal but price and fragrance strength concerns, supporting neutral ratings."
Concept 3: Dove Night Wash,M8_q49,"What concerns, if any, would you have about trying the Dove Night Wash? Select all that apply.","[""price_high"", ""skeptical_claims"", ""skin_irritation""]",Price might be too high; Might not work as claimed; Could irritate my skin,"Dove Night Wash is 'probably buy' with 'somewhat' uniqueness and relevance; price at ₹299-499 may be seen as slightly high, and typical concerns include efficacy and skin irritation."
Concept 4: Dove Yours & Mine,M8_q50,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"Prior survey answers show moderate interest (might_buy) and the concept is described as somewhat unique and appealing due to personalized fragrance quiz, but price concerns and availability limit enthusiasm."
Concept 4: Dove Yours & Mine,M8_q51,"What, if anything, did you find most appealing about the Dove Yours & Mine concept?",The personalized fragrance quiz and the idea of carrying a subtle scent of my partner throughout the day is the most appealing part.,The personalized fragrance quiz and the idea of carrying a subtle scent of my partner throughout the day is the most appealing part.,The concept's personalization and emotional connection through scent aligns with the participant's interest in how others react to fragrance.
Concept 4: Dove Yours & Mine,M8_q52,"What, if anything, would you change or improve about the Dove Yours & Mine concept?","I would want the price to be lower, ideally under Rs.700 for the couples kit, and clearer availability at my usual stores like D-Mart and Reliance Smart. Also, stronger or longer-lasting fragrance options would make the concept more appealing.","I would want the price to be lower, ideally under Rs.700 for the couples kit, and clearer availability at my usual stores like D-Mart and Reliance Smart. Also, stronger or longer-lasting fragrance options would make the concept more appealing.","Based on prior answers, price is a consistent concern especially for premium products like Dove Yours & Mine priced at Rs.799, and the personalized fragrance quiz is appealing but stronger scent longevity is desired."
Concept 4: Dove Yours & Mine,M8_q55,"Based on what you've seen, how likely would you be to buy the Dove Yours & Mine?",might_buy,Might or might not buy,Evidence shows moderate interest in personalized couple scents but price (₹799) and novelty likely reduce strong purchase intent.
Concept 4: Dove Yours & Mine,M8_q57,How unique or different is the Dove Yours & Mine compared to other body wash products available today?,somewhat,Somewhat unique,"No direct evidence for Yours & Mine uniqueness, but similar Dove fragrance products rated as somewhat unique, so this aligns with profile."
Concept 4: Dove Yours & Mine,M8_q58,How relevant is the Dove Yours & Mine to your personal needs?,somewhat,Somewhat relevant,Given moderate personal relevance ratings for similar Dove fragrance products and the profile's moderate engagement with scent personalization.
Concept 4: Dove Yours & Mine,M8_q59,How believable are the claims made about the Dove Yours & Mine?,somewhat,Somewhat believable,"Profile tends to be cautious but open to claims, rating similar Dove product claims as somewhat believable."
Concept 4: Dove Yours & Mine,M8_q60,How well does the Dove Yours & Mine idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,Consistent with prior ratings for Dove fragrance-related products fitting somewhat well with brand expectations.
Concept 4: Dove Yours & Mine,M8_q61,How would you describe the Dove Yours & Mine? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 4, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 4; Forgettable-Memorable: 3,"Dove Yours & Mine is seen as somewhat unique and somewhat fitting, with appeal for personalization but concerns about price and fragrance longevity, indicating moderate innovation but neutral on other traits."
Concept 4: Dove Yours & Mine,M8_q64,"What concerns, if any, would you have about trying the Dove Yours & Mine? Select all that apply.","[""price_high"", ""skeptical_claims"", ""skin_irritation"", ""availability""]",Price might be too high; Might not work as claimed; Could irritate my skin; Might not be available where I shop,"Dove Yours & Mine is priced high (₹799-999), rated 'might or might not buy' with 'somewhat' uniqueness and relevance; price, efficacy, irritation, and availability are concerns."
Concept 5: Dove Skin ID,M8_q65,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"Previous responses indicate moderate interest (might_buy) in Dove Skin ID, appreciating AI skin analysis but wanting lower price and assurance of effectiveness."
Concept 5: Dove Skin ID,M8_q66,"What, if anything, did you find most appealing about the Dove Skin ID concept?","The AI skin analysis feature that customizes the body wash to my specific skin needs across different body areas is the most appealing, as it promises a personalized solution rather than a generic product.","The AI skin analysis feature that customizes the body wash to my specific skin needs across different body areas is the most appealing, as it promises a personalized solution rather than a generic product.","Direct evidence highlights the appeal of AI skin analysis and custom formulation as unique aspects that address personal skin needs, which aligns with the participant’s interest in somewhat unique and relevant products."
Concept 5: Dove Skin ID,M8_q67,"What, if anything, would you change or improve about the Dove Skin ID concept?","I would want the price to be more affordable, ideally below Rs.600 for the first order, and assurance that the product truly works without irritating my skin. Also, better availability at local kirana or common retail stores would improve the concept.","I would want the price to be more affordable, ideally below Rs.600 for the first order, and assurance that the product truly works without irritating my skin. Also, better availability at local kirana or common retail stores would improve the concept.","Price sensitivity and concerns about product efficacy and skin irritation are consistent themes across responses, and availability is a noted concern for Dove Skin ID."
Concept 5: Dove Skin ID,M8_q68,How well does the Dove Skin ID concept fit with your current routine?,3,3 (Somewhat well),"The Dove Skin ID concept fits somewhat well with current routine as per prior answers, reflecting moderate alignment with needs but not perfect fit due to price and availability concerns."
Concept 5: Dove Skin ID,M8_q70,"Based on what you've seen, how likely would you be to buy the Dove Skin ID?",might_buy,Might or might not buy,"Profile values skin-specific products but is cautious about new tech-heavy products at premium prices (₹699), so moderate purchase likelihood."
Concept 5: Dove Skin ID,M8_q72,How unique or different is the Dove Skin ID compared to other body wash products available today?,somewhat,Somewhat unique,"AI-customized body wash is novel but profile is skeptical of gimmicks and prefers detailed ingredient info, so uniqueness rated as somewhat."
Concept 5: Dove Skin ID,M8_q73,How relevant is the Dove Skin ID to your personal needs?,somewhat,Somewhat relevant,"Previous answers consistently rated Dove Skin ID as somewhat unique and relevant, indicating moderate personal relevance."
Concept 5: Dove Skin ID,M8_q74,How believable are the claims made about the Dove Skin ID?,somewhat,Somewhat believable,"Prior responses show the claims about Dove Skin ID are considered somewhat believable, consistent with moderate trust in the product claims."
Concept 5: Dove Skin ID,M8_q75,How well does the Dove Skin ID idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,Earlier answers indicate the Dove Skin ID idea fits somewhat well with expectations from the Dove brand.
Concept 5: Dove Skin ID,M8_q76,How would you describe the Dove Skin ID? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 4, ""Not for me-Made for me"": 4, ""Old-fashioned-Innovative"": 5, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 4; Not for me-Made for me: 4; Old-fashioned-Innovative: 5; Forgettable-Memorable: 3,"Dove Skin ID concept is appealing for its AI customization and personalization, rated as innovative and made for me, but with price and availability concerns keeping premium and memorability neutral."
Concept 5: Dove Skin ID,M8_q79,"What concerns, if any, would you have about trying the Dove Skin ID? Select all that apply.","[""price_high"", ""skeptical_claims"", ""skin_irritation"", ""availability""]",Price might be too high; Might not work as claimed; Could irritate my skin; Might not be available where I shop,"Dove Skin ID is priced at ₹699+ and rated 'might or might not buy' with 'somewhat' relevance and uniqueness; price, efficacy, irritation, and availability are reasonable concerns."
Comparative & Pricing,M8_q17,How important are each of these factors when choosing a body wash?,"{""Cleansing effectiveness"": 5, ""Moisturization / skin hydration"": 4, ""Fragrance / scent quality"": 5, ""Gentleness on skin"": 4, ""Value for money"": 5, ""Innovation / uniqueness"": 3, ""Brand trust and reputation"": 3, ""Convenience / ease of use"": 4}",Cleansing effectiveness: 5; Moisturization / skin hydration: 4; Fragrance / scent quality: 5; Gentleness on skin: 4; Value for money: 5; Innovation / uniqueness: 3; Brand trust and reputation: 3; Convenience / ease of use: 4,"Evidence shows top importance on cleansing, fragrance, and value for money, with moderate importance on moisturization, gentleness, convenience, and moderate on innovation and brand trust."
Comparative & Pricing,M8_q80,"Now that you've seen all 5 concepts, please rank them from most to least appealing. Pick your top 3.","[""Dove 60-Second Body Spray"", ""Dove Skip"", ""Dove Night Wash"", ""Dove Yours & Mine"", ""Dove Skin ID""]",Dove 60-Second Body Spray > Dove Skip > Dove Night Wash > Dove Yours & Mine > Dove Skin ID,"Based on direct evidence and prior answers, Dove 60-Second Body Spray is most appealing due to time-saving promise, followed by Dove Skip for moisturization, then Dove Night Wash for calming effect; Dove Yours & Mine and Dove Skin ID are less preferred but still somewhat appealing."
Comparative & Pricing,M8_q81,"Thinking about the concept you found most appealing — at the price shown, how likely would you be to buy it?",might_buy,Might or might not buy,"Consistent with previous likelihood ratings for Dove Skin ID, the participant is uncertain and rates purchase likelihood as might or might not buy."
Comparative & Pricing,M8_q82,What would you expect to pay for your most preferred concept? (Enter amount in rupees),199,199,"The participant prefers premium quality but is sensitive to price; they expect a price lower than ₹299 for body wash concepts and have expressed wanting more affordable pricing closer to mid-range, so ₹199 fits their expectation for a preferred concept."
