Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,"Real evidence states the participant showers once a day, indicating daily use of body wash."
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""dove"", ""pears"", ""fiama"", ""nivea"", ""other""]",Dove; Pears; Fiama; Nivea; Other brand,"Real interview data shows current use of Arata, Fiama, Pears, Dettol and mentions Dove and Nivea top-of-mind; 'Other brand' included to cover Arata and Dettol which are not in options."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",somewhat_dissatisfied,Somewhat dissatisfied,"Participant is dissatisfied with fragrance longevity and strength in current body wash, indicating some dissatisfaction overall."
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?","I would most like to see better fragrance longevity and more natural ingredients at affordable prices, along with a moisturized skin feel after use.","I would most like to see better fragrance longevity and more natural ingredients at affordable prices, along with a moisturized skin feel after use.","Real interview data shows dissatisfaction with fragrance strength and longevity, desire for moisturized skin, and preference for less chemicals and natural ingredients."
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"Previously rated interest in Dove 60-Second Body Spray as somewhat interested (3), reflecting moderate appeal due to speed but concerns on price and efficacy."
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?",The speed and convenience of getting clean in just 60 seconds was the most appealing part of the Dove 60-Second Body Spray concept.,The speed and convenience of getting clean in just 60 seconds was the most appealing part of the Dove 60-Second Body Spray concept.,"Survey evidence highlights the appeal of the quick cleansing benefit, though price and effectiveness concerns remain."
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?","I would improve the price to be more affordable and ensure availability at my usual stores, as well as provide stronger proof that it works as claimed.","I would improve the price to be more affordable and ensure availability at my usual stores, as well as provide stronger proof that it works as claimed.","Concerns about high price, availability, and skepticism about claims were repeatedly noted for this product."
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,3,3 (Somewhat well),"Fits somewhat well with routine as per prior answer, since the product suits busy days but is not fully integrated due to price and availability concerns."
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,3,3 (Moderately likely),Moderately likely to save time aligns with appeal of 60-second cleaning but skepticism about effectiveness and price limits stronger rating.
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",probably_not,Probably would not buy,Price sensitivity and skepticism about claims combined with preference for strong fragrance and moisturizing effects make this product less appealing despite convenience claims.
