Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,"Real evidence states the participant showers once daily and uses body wash, indicating daily use."
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""dove"", ""lux"", ""pears"", ""fiama"", ""other""]",Dove; Lux; Pears; Fiama; Other brand,"Participant currently uses Cinthol (not listed), but has named Dove, Pears, Plum, and Cinthol before; given the options, Dove, Lux, Pears, Fiama and Other brand (to cover Cinthol) are plausible recent uses."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",somewhat_satisfied,Somewhat satisfied,"Participant likes current body wash for ease of use, price, and acceptable smell but only 'okay' fragrance and neutral skin feeling suggests moderate satisfaction."
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?","I would like body washes to be cheaper and have a watery texture that foams easily from the dispenser. Also, they should not dry out the skin and be leakproof for travel.","I would like body washes to be cheaper and have a watery texture that foams easily from the dispenser. Also, they should not dry out the skin and be leakproof for travel.","Based on real interview data, the participant values cheap, easy-to-use body wash with a watery texture, good foam, non-drying effect, and travel-friendly packaging."
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"The participant is somewhat interested in the Dove 60-Second Body Spray concept, valuing its time-saving promise but concerned about price and availability."
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?","The most appealing part is the promise of getting completely clean in just 60 seconds, which fits well for busy days when I have to rush between activities.","The most appealing part is the promise of getting completely clean in just 60 seconds, which fits well for busy days when I have to rush between activities.","Survey evidence shows the participant finds the Dove 60-Second Body Spray somewhat unique and relevant for quick cleaning, matching their pragmatic and time-conscious grooming style."
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?","I would want the price to be lower and ensure it is easily available where I shop, as price and availability are key concerns for me.","I would want the price to be lower and ensure it is easily available where I shop, as price and availability are key concerns for me.","Concerns about price being too high and product availability were explicitly mentioned, reflecting the participant's value-driven and convenience-focused buying behavior."
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,3,3 (Somewhat well),The concept fits somewhat well with the participant's routine as they appreciate quick cleansing for busy days but do not fully rely on it.
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,4,4,"The product is moderately likely to save time given its 60-second cleansing benefit, which aligns with the participant's busy schedule."
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",might_buy,Might or might not buy,"The product is priced at ₹199 for trial and ₹399 regular, which is a premium price; participant is skeptical about paying premium without strong proof and prefers to try samples first, so purchase likelihood is uncertain."
