Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,"Real interview data shows I shower twice daily, so I would use body wash daily."
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""body_shop"", ""other""]",The Body Shop; Other brand,"Real interview data shows I currently use BBW Strawberry Poundcake, ThinkSkin, and Plum Niacinamide - these are 'Other brand' options, plus I can recall The Body Shop from my brand awareness list."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",somewhat_satisfied,Somewhat satisfied,Real evidence shows I like the smell of my current body wash but it frustrates me that it could lather more and needs exfoliating features.
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?","Better fragrance longevity that lasts all day and exfoliating properties built into the formula, since I prefer exfoliating textures but my current body wash lacks this feature.","Better fragrance longevity that lasts all day and exfoliating properties built into the formula, since I prefer exfoliating textures but my current body wash lacks this feature.","Evidence shows I expect all-day fragrance duration and prefer exfoliating textures, plus I'm frustrated that my current body wash 'needs exfoliating feature'."
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"While the micellar technology appeals to me and fits my dual routine approach, the lack of fragrance information and high price at ₹399 for 200ml creates moderate rather than high interest."
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?","The micellar cleansing technology sounds innovative and I'm always willing to try new formulations, plus the speed benefit could work for my dual routine approach when I need quick cleansing.","The micellar cleansing technology sounds innovative and I'm always willing to try new formulations, plus the speed benefit could work for my dual routine approach when I need quick cleansing.",My high novelty comfort (5/5) and dual routine preference (fast and slow self-care routes) make the innovative technology and time-saving benefit appealing.
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?","I'd want to know what fragrance it offers since smell is my top priority, and at ₹399 for 200ml it seems expensive compared to regular body wash - the scent would need to be exceptional to justify the premium.","I'd want to know what fragrance it offers since smell is my top priority, and at ₹399 for 200ml it seems expensive compared to regular body wash - the scent would need to be exceptional to justify the premium.","Fragrance ranks first in my purchase factors and I have price concerns about this concept, so scent information would be crucial for my decision."
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,4,4,The speed benefit aligns well with my dual routine approach where I have both fast and slow self-care routes depending on my mood and time constraints.
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,4,4,"The 60-second cleaning concept would likely save significant time during my fast routine days when I'm rushing between activities, though I'd still want my slower routine option available."
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",might_buy,Might or might not buy,"While the speed concept is interesting for my dual routine needs, there's no mention of fragrance which is my #1 priority, and I prefer exfoliating textures over spray formats."
Concept 1: Dove 60-Second Body Spray,M8_q12,How unique or different is the Dove 60-Second Body Spray compared to other body wash products available today?,very,Very unique,"A 60-second body spray format with micellar technology is quite different from traditional liquid body washes, though not completely unprecedented given face care products."
Concept 1: Dove 60-Second Body Spray,M8_q13,How relevant is the Dove 60-Second Body Spray to your personal needs?,somewhat,Somewhat relevant,"The speed benefit fits my fast routine needs when I'm in a hurry using bar soap, but lacks the fragrance and exfoliating features I prioritize most."
Concept 1: Dove 60-Second Body Spray,M8_q14,How believable are the claims made about the Dove 60-Second Body Spray?,somewhat,Somewhat believable,"Micellar technology exists in face care so it's plausible, but the 60-second complete cleaning claim seems optimistic compared to my thorough shower routine with loofah scrubbing."
Concept 1: Dove 60-Second Body Spray,M8_q15,How well does the Dove 60-Second Body Spray idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,"Dove is known for moisturizing benefits which aligns with the concept, but a spray format is quite different from their traditional body wash offerings."
Concept 1: Dove 60-Second Body Spray,M8_q16,How would you describe the Dove 60-Second Body Spray? Rate each pair of characteristics.,"{""Basic-Premium"": 4, ""Boring-Exciting"": 4, ""Not for me-Made for me"": 4, ""Old-fashioned-Innovative"": 5, ""Forgettable-Memorable"": 4}",Basic-Premium: 4; Boring-Exciting: 4; Not for me-Made for me: 4; Old-fashioned-Innovative: 5; Forgettable-Memorable: 4,"Evidence shows I find the micellar cleansing technology innovative and appealing for my dual routine approach, rating it as very innovative and moderately premium/exciting since it fits my needs but price concerns remain."
Concept 1: Dove 60-Second Body Spray,M8_q19,"What concerns, if any, would you have about trying the Dove 60-Second Body Spray? Select all that apply.","[""price_high"", ""skeptical_claims""]",Price might be too high; Might not work as claimed,"While I'm a premium price acceptor, ₹399 for 200ml seems expensive for a trial concept, and my 'somewhat believable' rating for this product's claims indicates skepticism about effectiveness."
Concept 2: Dove Skip,M8_q20,"Overall, how interested are you in this product concept?",4,4,"The moisturizing benefit strongly appeals to me since I want moisturized skin post-wash and have dryness concerns, plus the lipid-lock technology sounds like quality ingredient innovation I value."
Concept 2: Dove Skip,M8_q21,"What, if anything, did you find most appealing about the Dove Skip concept?","The moisturizing benefit appeals to me since I want moisturized skin post-wash and have dryness concerns, plus the lipid-lock technology sounds like quality ingredient innovation I value.","The moisturizing benefit appeals to me since I want moisturized skin post-wash and have dryness concerns, plus the lipid-lock technology sounds like quality ingredient innovation I value.","My ideal post-wash feeling is moisturized, I have dryness as a skin concern, and I value ingredient transparency and quality formulations."
Concept 2: Dove Skip,M8_q22,"What, if anything, would you change or improve about the Dove Skip concept?","I'd need to know the fragrance profile since scent is non-negotiable for me, and would want confirmation that the moisturizing doesn't compromise the exfoliating texture I prefer.","I'd need to know the fragrance profile since scent is non-negotiable for me, and would want confirmation that the moisturizing doesn't compromise the exfoliating texture I prefer.","Fragrance is my #1 purchase factor and I specifically prefer exfoliating textures, so both aspects would need to align with my preferences."
Concept 2: Dove Skip,M8_q23,How well does the Dove Skip concept fit with your current routine?,4,4,"This fits well with my routine since I have dryness concerns and want moisturized skin post-wash, eliminating the need for separate body lotion would streamline my process."
Concept 2: Dove Skip,M8_q24,How likely would the Dove Skip be to save you time in your routine?,4,4,"Eliminating the separate moisturizing step would save time in my routine, especially since I have concerns about skin dryness and this addresses that need directly in the wash step."
