Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,"Real interview data shows I shower once a day and use only body wash, indicating daily body wash usage."
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""other""]",Other brand,"Real interview data shows I currently use 'Beauty, health and planet' which is not listed among the standard options, so selecting 'Other brand' to represent my actual usage."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",very_satisfied,Very satisfied,"Evidence shows extreme brand loyalty with 2-year consistent use of Beauty, Health and Planet, loving its fragrance and natural feel."
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?",Better fragrance options that last longer and more natural ingredients without compromising on the scent quality.,Better fragrance options that last longer and more natural ingredients without compromising on the scent quality.,"Evidence shows fragrance is my primary purchase driver and I prefer natural ingredients, so improvements would focus on these key areas."
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",2,2,"While I found the micellar technology and trial size appealing, I already rated my purchase likelihood as 'probably would not buy' and have concerns about price and being happy with my current product."
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?",The micellar cleansing technology sounds innovative and the trial size option lets me test it before committing to the full product.,The micellar cleansing technology sounds innovative and the trial size option lets me test it before committing to the full product.,Evidence shows I prefer sample-testing before commitment and am moderately open to trying new brands with innovative features.
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?","I'd want to know more about the fragrance - what does it smell like and does the scent last after the quick wash, since fragrance is most important to me.","I'd want to know more about the fragrance - what does it smell like and does the scent last after the quick wash, since fragrance is most important to me.","Evidence shows fragrance is my primary purchase driver and I specifically love scents, so this would be my main concern with any body wash concept."
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,2,2,"The concept is only somewhat relevant to my needs as I'm very satisfied with my current body wash routine and prefer thick, creamy formulas over spray formats."
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,3,3 (Moderately likely),"The 60-second concept could moderately save time during rushed moments, though I'm generally satisfied with my current routine and don't feel a strong need for speed optimization."
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",probably_not,Probably would not buy,"While I recognize Dove as a trusted brand, this spray format doesn't align with my preference for thick cream textures and the concept lacks emphasis on fragrance which is non-negotiable for me."
Concept 1: Dove 60-Second Body Spray,M8_q12,How unique or different is the Dove 60-Second Body Spray compared to other body wash products available today?,very,Very unique,"The 60-second micellar cleansing technology and spray format is quite different from traditional body washes, though I've seen innovative formats before in other categories."
